"Date","PgTF","Species","Cl","ClER","NO3","NO3ER","SO4","SO4ER"
"2014_10_29","TF","Q.pagoda",0.934919323539361,NA,0.047028731321916,NA,0.401496212696657,NA
"2014_10_29","TF","Q.alba",0.819108923431486,NA,0.641094378195703,NA,0.35069711599499,NA
"2014_10_29","TF","C.glabra",0.613570564892143,NA,0.700402887305245,NA,0.752661952748895,NA
"2015_01_13","Pg","precipitation",0.886528828879818,0.0471785457339138,0.163176310714334,"0.238512451993302",0.273315828060731,"0.170806363224983"
"2015_01_13","TF","Q.shumardii",0.428733625914901,0.250847456976771,0.51526043144986,"0.0585213112644851",0.940559075912461,"0.0958178229629993"
"2015_01_13","TF","Q.stellata",0.629046633373946,0.98273443384096,0.0294723943807185,"0.989422135287896",0.863499737111852,"0.0371911502443254"
"2015_01_13","TF","C.ovata",0.372746111592278,0.53201901819557,0.545824680710211,"0.592464377637953",0.0838328779209405,"0.689328068168834"
"2015_01_13","TF","Q.pagoda",0.42850660555996,0.240146731957793,0.492439714027569,"0.284591459203511",0.930159188807011,"0.755669328616932"
"2015_01_13","TF","Q.alba",0.583942719735205,0.663538387976587,0.217575889313594,"0.640578312799335",0.308369202539325,"0.972066921181977"
"2015_01_13","TF","C.glabra",0.575817017350346,0.921819223323837,0.464359077624977,"0.722266018390656",0.700047031976283,"0.172100713476539"
"2015_01_23","Pg","precipitation",0.536445252830163,0.138603896601126,0.48946043336764,"0.00136398361064494",0.869781155604869,"0.711068828124553"
"2015_01_23","TF","Q.shumardii",0.474235590547323,0.121324239298701,0.421853235224262,"0.56813215254806",0.283774025738239,"0.936402427498251"
"2015_01_23","TF","Q.stellata",0.482729121576995,0.371317848330364,0.838950344594195,"0.67012009350583",0.10288193076849,"0.960859670769423"
"2015_01_23","TF","C.ovata",0.73772060032934,0.108766280580312,0.387492692563683,"0.0926421780604869",0.605409953277558,"0.502956581534818"
"2015_01_23","TF","Q.pagoda",0.4066206603311,0.177759862039238,0.378059205599129,"0.60959396418184",0.396631496725604,"0.994524353183806"
"2015_01_23","TF","Q.alba",0.188064404996112,0.950942251598462,0.689114444656298,"0.893620209768414",0.836081558838487,"0.741009773220867"
"2015_01_23","TF","C.glabra",0.927322720643133,0.453914099372923,0.618581033311784,"0.675990040646866",0.307256682310253,"0.962859682738781"
"2015_02_02","Pg","precipitation",0.484764607157558,0.938434492563829,0.710835785605013,"0.396119235781953",0.888274220051244,"0.0717860495205969"
"2015_02_02","TF","Q.shumardii",0.100635484559461,0.368279792834073,0.0341020999476314,"0.242255890974775",0.506135111907497,"0.136571765644476"
"2015_02_02","TF","Q.stellata",0.336984426481649,0.370825729798526,0.8400911858771,"0.517791179707274",0.53189160162583,"0.394938691519201"
"2015_02_02","TF","C.ovata",0.74111640243791,0.212149878265336,0.143061965238303,"0.146848280448467",0.0765727167017758,"0.616263295290992"
"2015_02_02","TF","Q.pagoda",0.559238141169772,0.28422826831229,0.798229582840577,"0.678488040575758",0.420128914294764,"0.751419405918568"
"2015_02_02","TF","Q.alba",0.00907637015916407,0.472885938128456,0.986953273881227,"0.223923266399652",0.867662112461403,"0.738340714946389"
"2015_02_02","TF","C.glabra",0.610573751386255,0.138090074295178,0.60332741169259,"0.16592679056339",0.0422166641801596,"0.819672025041655"
"2015_02_17","Pg","precipitation",0.991664243163541,0.142667559208348,0.474111968884245,NA,0.736399183282629,"0.610033367294818"
"2015_02_17","TF","Q.shumardii",0.555684653110802,0.314424530602992,0.850216927006841,NA,0.657420023577288,"0.597352794837207"
"2015_02_17","TF","Q.stellata",0.569119969150051,0.601437647361308,0.0958569699432701,NA,0.342998503008857,"0.761236556107178"
"2015_02_17","TF","C.ovata",0.952503143344074,0.366531578823924,0.00325308297760785,NA,0.167393632233143,"0.193055033916607"
"2015_02_17","TF","Q.pagoda",0.021273749647662,0.221398752648383,0.739657844416797,NA,0.110214975196868,"0.912300494033843"
"2015_02_17","TF","Q.alba",0.228897352935746,0.0147633648011833,0.0965388647746295,NA,0.657576342113316,"0.444651932455599"
"2015_02_17","TF","C.glabra",0.380248954519629,0.224778522038832,0.388379940064624,NA,0.751558862393722,"0.231141679687425"
"2015_03_16","Pg","precipitation",0.423399007646367,0.241114682517946,0.162410614546388,"0.804268785519525",0.536393376067281,"0.959122915752232"
"2015_03_16","TF","Q.shumardii",0.554508208297193,0.964708156185225,0.620929855387658,"0.00172585411928594",0.387429289286956,"0.446522952523082"
"2015_03_16","TF","Q.stellata",0.959423980675638,0.564280535560101,0.422116974601522,"0.327198872109875",0.87747630267404,"0.602514321217313"
"2015_03_16","TF","C.ovata",0.223073051078245,0.0482831217814237,0.238645347533748,"0.18491951469332",0.401939107570797,"0.774273375514895"
"2015_03_16","TF","Q.pagoda",0.718929928028956,0.18679208541289,0.00590730784460902,"0.136674566194415",0.628823714563623,"0.118861303664744"
"2015_03_16","TF","Q.alba",0.213972211815417,0.803554828511551,0.359936507651582,"0.9877993715927",0.0277484629768878,"0.30359098338522"
"2015_03_16","TF","C.glabra",0.53821884910576,0.06500239437446,0.552936928579584,"0.523260977352038",0.770929960766807,"0.012282274197787"
"2015_03_23","Pg","precipitation",0.861544734798372,0.335422234144062,0.531709394417703,"0.344496947713196",0.688709509558976,"0.90750564658083"
"2015_03_23","TF","Q.shumardii",0.210108066909015,0.755569325527176,0.641333228442818,"0.701084155822173",0.338348869234324,"0.611398417735472"
"2015_03_23","TF","Q.stellata",0.230854753172025,0.907599738100544,0.843805361539125,"0.295789161464199",0.802564330631867,"0.475711919600144"
"2015_03_23","TF","C.ovata",0.0672383615747094,0.691716795554385,0.803706221515313,"0.988512453390285",0.0518128590192646,"0.850917178206146"
"2015_03_23","TF","Q.pagoda",0.643646758515388,0.0787609370891005,0.751339574810117,"0.650008103111759",0.0606495158281177,"0.0602027822751552"
"2015_03_23","TF","Q.alba",0.949027107097208,0.00840065628290176,0.321624977514148,"0.814171500736848",0.493783214129508,"0.247380270157009"
"2015_03_23","TF","C.glabra",0.0914371493272483,6.9823581725359e-05,0.883326423121616,"0.988917424343526",0.624677513726056,"0.111125911585987"
"2015_03_30","Pg","precipitation",0.37561033363454,NA,0.311625656206161,"0.42071368242614",NA,NA
"2015_03_30","TF","Q.shumardii",0.463198309997097,NA,0.741361147491261,NA,NA,NA
"2015_03_30","TF","Q.stellata",0.166036802344024,NA,0.706867972388864,"0.400222830707207",0.823487091809511,NA
"2015_03_30","TF","C.ovata",0.702294982271269,NA,0.301740113180131,"0.852104770950973",NA,NA
"2015_03_30","TF","Q.pagoda",0.0791780452709645,NA,0.599772210000083,"0.566813554847613",0.0204514476936311,NA
"2015_03_30","TF","Q.alba",0.00324489921331406,NA,0.808237790362909,"0.718304377282038",NA,NA
"2015_03_30","TF","C.glabra",0.38097029668279,NA,0.259809415554628,"0.835513118188828",0.020896221511066,NA
"2015_04_03","Pg","precipitation",0.887562337797135,NA,0.948865620885044,"0.371566444868222",NA,NA
"2015_04_03","TF","Q.shumardii",0.93135245796293,NA,0.750852877274156,NA,0.446573619730771,NA
"2015_04_03","TF","Q.stellata",0.365252332296222,NA,0.365811747964472,"0.937433596234769",0.0041210250928998,NA
"2015_04_03","TF","C.ovata",0.537310265004635,NA,NA,"0.65211933827959",0.402916520135477,NA
"2015_04_03","TF","Q.pagoda",0.230721283471212,NA,0.445998222799972,"0.0872537610121071",0.437364574987441,NA
"2015_04_03","TF","Q.alba",0.173015938606113,NA,0.845037883846089,"0.50264978944324",0.176759303780273,NA
"2015_04_03","TF","C.glabra",0.554451397620142,NA,0.329212612239644,"0.16998570621945",0.621375354938209,NA
"2015_04_04","Pg","precipitation",NA,NA,NA,NA,NA,NA
"2015_04_04","TF","Q.shumardii",0.402853194624186,NA,NA,NA,0.550816266098991,NA
"2015_04_04","TF","Q.stellata",0.941423051757738,NA,NA,NA,0.174450939754024,NA
"2015_04_04","TF","C.ovata",0.487803143216297,NA,NA,NA,0.319884298602119,NA
"2015_04_04","TF","Q.pagoda",0.498863736400381,NA,NA,NA,0.489768552128226,NA
"2015_04_04","TF","Q.alba",0.713192848488688,NA,NA,NA,0.952432753983885,NA
"2015_04_04","TF","C.glabra",0.992921418976039,NA,NA,NA,0.571284534642473,NA
"2015_04_07","Pg","precipitation",0.925238484283909,0.845975144067779,0.946166591951624,NA,0.539750992087647,NA
"2015_04_07","TF","Q.shumardii",0.601471214089543,0.319640962872654,NA,NA,0.824422447942197,NA
"2015_04_07","TF","Q.stellata",0.851676201215014,0.109817391494289,NA,NA,0.403692915802822,NA
"2015_04_07","TF","C.ovata",0.315524835372344,0.374578500632197,NA,NA,0.692346716532484,NA
"2015_04_07","TF","Q.pagoda",0.0853947282303125,0.075409019831568,NA,NA,0.219658536836505,NA
"2015_04_07","TF","Q.alba",0.106056343298405,0.347739056451246,NA,NA,0.447545439470559,NA
"2015_04_07","TF","C.glabra",NA,NA,NA,NA,NA,NA
"2015_04_10","Pg","precipitation",NA,NA,NA,NA,NA,NA
"2015_04_10","TF","Q.shumardii",0.570012309355661,NA,0.405235842103139,NA,0.239297965774313,NA
"2015_04_10","TF","Q.stellata",0.939545328961685,NA,NA,NA,0.870012586237863,NA
"2015_04_10","TF","C.ovata",0.198567917570472,NA,0.410733584780246,NA,0.257782210363075,NA
"2015_04_10","TF","Q.pagoda",0.903208765899763,NA,NA,NA,0.753627803176641,NA
"2015_04_10","TF","Q.alba",0.42555037047714,NA,NA,NA,0.111436457140371,NA
"2015_04_10","TF","C.glabra",0.94187489640899,NA,0.660074454266578,NA,0.173007963225245,NA
"2015_04_14","Pg","precipitation",0.415113980183378,0.582257051952183,0.168588809669018,"0.984299108153209",0.558526927372441,"0.694863784359768"
"2015_04_14","TF","Q.shumardii",0.459541294490919,0.207089582458138,0.286634236341342,"0.56342361192219",0.382162241730839,"0.931112543214113"
"2015_04_14","TF","Q.stellata",0.0291519158054143,0.815083633176982,NA,NA,0.425018604611978,NA
"2015_04_14","TF","C.ovata",0.414117861539125,0.454985581105575,NA,NA,0.394170856103301,"0.222054151119664"
"2015_04_14","TF","Q.pagoda",0.430267135845497,0.177867095684633,NA,NA,0.730923083145171,"0.0360318515449762"
"2015_04_14","TF","Q.alba",0.107492465525866,0.77150578959845,NA,NA,0.658598069101572,"0.722191364271566"
"2015_04_14","TF","C.glabra",NA,NA,NA,NA,NA,NA
"2015_04_18","Pg","precipitation",NA,NA,NA,NA,NA,NA
"2015_04_18","TF","Q.shumardii",0.171901525231078,NA,NA,NA,0.212564267450944,NA
"2015_04_18","TF","Q.stellata",0.441590482369065,NA,NA,NA,0.490369517356157,NA
"2015_04_18","TF","C.ovata",0.126353397034109,NA,NA,NA,0.472052617231384,NA
"2015_04_18","TF","Q.pagoda",0.0191200289409608,NA,0.625663528218865,NA,0.50137154944241,NA
"2015_04_18","TF","Q.alba",0.16235754545778,NA,0.96611360530369,NA,0.326017432380468,NA
"2015_04_18","TF","C.glabra",0.630063668591902,NA,NA,NA,0.945960025303066,NA
"2015_04_19","Pg","precipitation",0.610979018732905,0.97699316800572,0.347991923103109,"0.528722032671794",0.594075869536027,"0.188437537522987"
"2015_04_19","TF","Q.shumardii",0.85339816310443,0.383591688238084,NA,NA,0.193695701658726,NA
"2015_04_19","TF","Q.stellata",0.36971155484207,0.233951271744445,NA,NA,0.775641208747402,NA
"2015_04_19","TF","C.ovata",0.135537583148107,0.802859587827697,NA,NA,0.356621997896582,"0.854696506867185"
"2015_04_19","TF","Q.pagoda",0.430493467953056,0.43386679678224,NA,NA,0.487453372217715,"0.498150483006611"
"2015_04_19","TF","Q.alba",0.278145708376542,0.552281614858657,0.0997199399862438,"0.292915313970298",0.0789779592305422,"0.607893639942631"
"2015_04_19","TF","C.glabra",0.292770262807608,0.585834893165156,0.772613055072725,"0.226079859072343",0.916777329985052,"0.0550957226660103"
"2015_04_25","Pg","precipitation",0.982022922951728,0.528386999852955,0.871445661876351,"0.332140357466415",0.725753803737462,"0.081047585234046"
"2015_04_25","TF","Q.shumardii",0.881890276679769,0.0139195963274688,0.959581399336457,"0.806357247522101",0.343409970402718,"0.436183643527329"
"2015_04_25","TF","Q.stellata",0.416628463193774,0.961681920103729,0.319537652190775,"0.26804893440567",0.40218400163576,"0.418716153595597"
"2015_04_25","TF","C.ovata",0.390169705497101,0.916898185154423,NA,NA,0.551700873300433,"0.532994962995872"
"2015_04_25","TF","Q.pagoda",0.9552995741833,0.528402572264895,0.766203535022214,"0.888300730381161",0.0465422654524446,"0.9239810295403"
"2015_04_25","TF","Q.alba",0.902886230731383,0.226357308914885,0.114116951124743,"0.317739097168669",0.228017691988498,"0.421347247203812"
"2015_04_25","TF","C.glabra",0.688009653473273,0.942522421013564,NA,NA,0.767308397917077,"0.604602744337171"
"2015_05_19","Pg","precipitation",0.454908206127584,0.277012370061129,0.617674023611471,"0.477514688391238",0.977886966429651,"0.682746568694711"
"2015_05_19","TF","Q.shumardii",0.546706415247172,0.630538921570405,0.744195736479014,"0.630458728177473",0.167913488578051,"0.532539237989113"
"2015_05_19","TF","Q.stellata",NA,NA,NA,NA,NA,NA
"2015_05_19","TF","C.ovata",0.207240098621696,0.384578879224136,0.371949156979099,"0.634445954347029",0.965083857066929,"0.400935110403225"
"2015_05_19","TF","Q.pagoda",0.862723217345774,0.942345039919019,0.60006745159626,"0.251720663858578",0.826790956314653,"0.933827406028286"
"2015_05_19","TF","Q.alba",NA,NA,NA,NA,NA,NA
"2015_05_19","TF","C.glabra",NA,NA,NA,NA,NA,NA
"2015_06_01","Pg","precipitation",0.468191880965605,0.697400491917506,0.748977060895413,"0.914071993669495",0.419372083386406,"0.552308171754703"
"2015_06_01","TF","Q.shumardii",0.403299275552854,0.966515578329563,0.23774699238129,"0.343587258597836",0.176597742596641,"0.862824454437941"
"2015_06_01","TF","Q.stellata",0.24391827872023,0.568676769267768,NA,NA,0.745572830783203,"0.924296119948849"
"2015_06_01","TF","C.ovata",0.9935972772073,NA,0.148112307768315,"0.648301703156903",0.0960310357622802,"0.858839089749381"
"2015_06_01","TF","Q.pagoda",0.184212594525889,0.0906998943537474,0.629477334674448,"0.977904602186754",0.0415899336803705,"0.848820490529761"
"2015_06_01","TF","Q.alba",0.237013081321493,0.528212450444698,0.813204786740243,"0.795685346238315",NA,NA
"2015_06_01","TF","C.glabra",0.448344588745385,0.85025286115706,0.00292476755566895,"0.547863319050521",0.914537120610476,"0.551964451791719"
"2015_06_26","Pg","precipitation",NA,NA,NA,NA,NA,NA
"2015_06_26","TF","Q.shumardii",0.813819411210716,NA,NA,NA,0.247695538913831,NA
"2015_06_26","TF","Q.stellata",0.753357501002029,NA,0.223033344838768,NA,0.97803108417429,NA
"2015_06_26","TF","C.ovata",0.393113598925993,NA,0.378771653166041,NA,NA,NA
"2015_06_26","TF","Q.pagoda",0.567633358994499,NA,0.0487311319448054,NA,0.230285616591573,NA
"2015_06_26","TF","Q.alba",0.243498445255682,NA,0.952707750257105,NA,0.55741319572553,NA
"2015_06_26","TF","C.glabra",0.228772182948887,NA,0.0710347450803965,NA,NA,NA
"2015_09_13","Pg","precipitation",0.693642097292468,0.637645384762436,0.872287549544126,"0.790574669837952",0.549420962575823,"0.087518681306392"
"2015_09_13","TF","Q.shumardii",0.489472627174109,0.311745408456773,0.399252964183688,"0.598316517658532",NA,"0.594085922231898"
"2015_09_13","TF","Q.stellata",0.623013659147546,0.00667417305521667,NA,NA,0.0633718366734684,NA
"2015_09_13","TF","C.ovata",0.163269122131169,0.92373497155495,0.605747453868389,"0.283229902619496",0.588003681274131,"0.000716238282620907"
"2015_09_13","TF","Q.pagoda",0.0594094917178154,0.507704050047323,0.39071950619109,"0.358293909579515",0.556663387222216,"0.89388660271652"
"2015_09_13","TF","Q.alba",0.405277918791398,0.455109964124858,0.664237827062607,"0.514047373784706",0.633874594699591,"0.393891046056524"
"2015_09_13","TF","C.glabra",0.212706414051354,0.031896892702207,NA,NA,0.137204465223476,"0.868998835328966"
"2015_10_28","Pg","precipitation",NA,NA,NA,NA,NA,NA
"2015_10_28","TF","Q.shumardii",0.877245118841529,NA,0.215310802217573,NA,0.663156641181558,NA
"2015_10_28","TF","Q.stellata",0.202441476518288,NA,NA,NA,0.635961909079924,NA
"2015_10_28","TF","C.ovata",0.205262462608516,NA,NA,NA,0.848295777337626,NA
"2015_10_28","TF","Q.pagoda",0.0558362719602883,NA,0.190261228242889,NA,0.0472742728888988,NA
"2015_10_28","TF","Q.alba",NA,NA,NA,NA,NA,NA
"2015_10_28","TF","C.glabra",NA,NA,NA,NA,NA,NA
